Period,Average Resolution Time (hours)
2020-01-31,7.106944444444444
2020-02-29,8.179559748427673
2020-03-31,7.095911949685534
2020-04-30,7.407098765432099
2020-05-31,7.742592592592592
2020-06-30,9.015296803652967
2020-07-31,7.794736842105263
2020-08-31,7.457878787878788
2020-09-30,7.566666666666667
2020-10-31,8.319354838709677
2020-11-30,6.655882352941176
2020-12-31,7.509740259740259
2021-01-31,6.72542372881356
2021-02-28,7.113939393939393
2021-03-31,7.8669811320754715
2021-04-30,7.015454545454546
2021-05-31,7.000546448087431
2021-06-30,8.144252873563218
2021-07-31,7.317204301075268
2021-08-31,8.184745762711865
2021-09-30,6.384905660377358
2021-10-31,8.169182389937106
2021-11-30,7.854166666666666
2021-12-31,7.846174863387978
